比容量(mAh/g)	电压(V)	
0.00	0.4394	
0.18	1.5552	
0.37	1.6401	
0.55	1.6504	
0.73	1.6529	
0.92	1.6538	
1.10	1.6548	
1.28	1.6558	
1.47	1.6563	
1.65	1.6568	
1.83	1.6581	
2.02	1.6593	
2.20	1.6606	
2.38	1.6612	
2.57	1.6622	
2.75	1.6629	
2.93	1.6641	
3.11	1.6644	
3.30	1.6649	
3.48	1.6652	
3.66	1.6655	
3.85	1.6658	
4.03	1.6667	
4.21	1.6671	
4.40	1.6675	
4.58	1.6686	
4.76	1.6682	
4.95	1.6689	
5.13	1.6691	
5.31	1.6692	
5.50	1.6693	
5.68	1.6693	
5.86	1.6690	
6.05	1.6696	
6.23	1.6700	
6.41	1.6703	
6.60	1.6706	
6.78	1.6709	
6.96	1.6717	
7.15	1.6721	
7.33	1.6719	
7.51	1.6718	
7.70	1.6718	
7.88	1.6718	
8.06	1.6717	
8.25	1.6721	
8.43	1.6729	
8.61	1.6735	
8.79	1.6747	
8.98	1.6753	
9.16	1.6753	
9.34	1.6753	
9.53	1.6757	
9.71	1.6760	
9.89	1.6758	
10.08	1.6760	
10.26	1.6759	
10.44	1.6755	
10.63	1.6759	
10.81	1.6754	
10.99	1.6752	
11.18	1.6750	
11.36	1.6751	
11.54	1.6755	
11.73	1.6753	
11.91	1.6753	
12.09	1.6752	
12.28	1.6753	
12.46	1.6757	
12.64	1.6756	
12.83	1.6752	
13.01	1.6766	
13.19	1.6768	
13.38	1.6776	
13.56	1.6787	
13.74	1.6789	
13.93	1.6785	
14.11	1.6785	
14.29	1.6785	
14.47	1.6785	
14.66	1.6790	
14.84	1.6798	
15.02	1.6800	
15.21	1.6802	
15.39	1.6798	
15.57	1.6804	
15.76	1.6806	
15.94	1.6803	
16.12	1.6793	
16.31	1.6787	
16.49	1.6781	
16.67	1.6775	
16.86	1.6769	
17.04	1.6763	
17.22	1.6760	
17.41	1.6758	
17.59	1.6756	
17.77	1.6758	
17.96	1.6763	
18.14	1.6769	
18.32	1.6778	
18.51	1.6784	
18.69	1.6784	
18.87	1.6785	
19.06	1.6786	
19.24	1.6785	
19.42	1.6782	
19.61	1.6787	
19.79	1.6786	
19.97	1.6788	
20.15	1.6792	
20.34	1.6800	
20.52	1.6804	
20.70	1.6807	
20.89	1.6803	
21.07	1.6806	
21.25	1.6809	
21.44	1.6814	
21.62	1.6817	
21.80	1.6288	
21.99	1.6249	
22.17	1.6366	
22.35	1.6476	
22.54	1.6565	
22.72	1.6632	
22.90	1.6682	
23.09	1.6708	
23.27	1.6731	
23.45	1.6753	
23.64	1.6768	
23.82	1.6775	
24.00	1.6781	
24.19	1.6785	
24.37	1.6790	
24.55	1.6795	
24.74	1.6798	
24.92	1.6805	
25.10	1.6811	
25.29	1.6823	
25.47	1.6829	
25.65	1.6826	
25.83	1.6822	
26.02	1.6835	
26.20	1.6845	
26.38	1.6839	
26.57	1.6831	
26.75	1.6827	
26.93	1.6818	
27.12	1.6815	
27.30	1.6814	
27.48	1.6818	
27.67	1.6814	
27.85	1.6812	
28.03	1.6813	
