Relative Pressure,Volume @ STP
1.00215e-02,115.8905
2.53281e-02,128.5068
5.00006e-02,139.0827
7.43012e-02,146.0871
9.99860e-02,152.0213
1.24482e-01,156.8581
1.50379e-01,161.6344
1.74883e-01,165.551
1.99838e-01,169.4363
2.24465e-01,173.3727
2.49867e-01,177.1256
2.74970e-01,180.7513
3.00111e-01,184.2873
3.25165e-01,187.7657
3.50007e-01,191.1961
3.75228e-01,194.6553
4.00022e-01,198.0802
4.25007e-01,201.605
4.49819e-01,205.1303
4.74785e-01,208.7075
4.99438e-01,212.3778
5.24558e-01,216.1213
5.49628e-01,221.0196
5.75285e-01,225.4247
6.00154e-01,229.8927
6.24664e-01,234.6753
6.49325e-01,239.801
6.76223e-01,245.9637
6.99934e-01,252.1359
7.24861e-01,259.1726
7.48801e-01,266.8579
7.74177e-01,278.1292
7.98832e-01,289.7666
8.24054e-01,305.8435
8.48659e-01,327.0828
8.73834e-01,358.7931
8.99071e-01,409.5113
9.25020e-01,479.5687
9.49325e-01,522.1211
9.74741e-01,529.3137
9.94245e-01,532.6401
9.93251e-01,532.9451
9.75622e-01,531.3393
9.49868e-01,527.9467
9.26127e-01,525.0261
8.99919e-01,521.6507
8.75237e-01,516.7072
8.50781e-01,465.3694
8.23804e-01,368.2399
8.00928e-01,322.0038
7.75408e-01,299.139
7.50549e-01,283.4677
7.25312e-01,272.6418
7.00569e-01,263.4675
6.75228e-01,255.9337
6.50137e-01,248.8903
6.24339e-01,242.5833
6.00274e-01,237.4429
5.75286e-01,232.3938
5.49956e-01,227.5779
5.25894e-01,223.54
5.00046e-01,219.5192
4.75518e-01,215.7271
4.50519e-01,211.7728
4.25187e-01,207.8217
4.00056e-01,203.9912
3.74912e-01,200.1834
3.50977e-01,196.8662
3.25062e-01,192.9203
3.01012e-01,189.5239
2.75024e-01,185.4999
2.50883e-01,182.0605
2.24980e-01,177.9278
2.01125e-01,174.2755
1.75170e-01,169.9227
1.50188e-01,165.5259
1.25532e-01,160.9093
9.98902e-02,155.5289
7.51013e-02,149.6051
4.90444e-02,141.6839
2.47465e-02,130.7924
